date,pollutant,mean,std,min,max,count
2022-04-20,O3,110.96611680784663,47.27503417648266,2.0,214.0,2243
2022-04-20,PM2.5,38.04681230494873,16.37266739105101,2.0,110.0,2243
2022-04-20,PM10,88.49531040643144,26.037349927131594,4.0,251.0,2239
2022-04-21,O3,94.27139037433155,23.612209099657914,3.0,164.0,2244
2022-04-21,PM2.5,41.362539114886005,32.43007663743338,1.0,318.0,2237
2022-04-21,PM10,150.1385165326184,142.07859009723867,3.0,1418.0,2238
2022-04-22,O3,80.51734875444839,23.15933248664833,1.0,134.0,2248
2022-04-22,PM2.5,17.255461435577352,12.167881619688403,1.0,128.0,2243
2022-04-22,PM10,56.98168825368468,37.44582061542361,3.0,314.0,2239
2022-04-23,O3,90.78622222222222,48.773417955498346,1.0,216.0,2250
2022-04-23,PM2.5,37.171151301279224,15.685956301644165,1.0,174.0,2267
2022-04-23,PM10,108.29552503322995,38.03721031494777,14.0,343.0,2257
2022-04-24,O3,96.06288751107175,45.24253639210634,1.0,227.0,2258
2022-04-24,PM2.5,48.720425343376164,20.00213312053458,2.0,142.0,2257
2022-04-24,PM10,126.46566238369518,41.30533821877783,32.0,285.0,2257
2022-04-25,O3,92.97961896322552,52.12788482967037,1.0,238.0,2257
2022-04-25,PM2.5,57.325210456358,26.508484154656678,4.0,288.0,2257
2022-04-25,PM10,131.21152993348116,94.2827565460223,17.0,1832.0,2255
2022-04-26,O3,81.29503799731783,24.257404428583815,2.0,165.0,2237
2022-04-26,PM2.5,33.524531668153436,26.41022656553239,1.0,158.0,2242
2022-04-26,PM10,130.94892473118279,90.43830987534558,3.0,627.0,2232
2022-04-27,O3,71.06183274021352,16.656547413255584,14.0,119.0,2248
2022-04-27,PM2.5,17.21377777777778,12.786002292244591,1.0,126.0,2250
2022-04-27,PM10,61.55071174377224,48.676487683789134,2.0,278.0,2248
2022-04-28,O3,62.124664879356565,20.270073497138167,2.0,115.0,2238
2022-04-28,PM2.5,22.11819803746655,12.128395723952313,1.0,130.0,2242
2022-04-28,PM10,36.403125,22.64525512155006,3.0,270.0,2240
2022-04-29,O3,61.61889692585895,36.783466205959975,1.0,154.0,2212
2022-04-29,PM2.5,41.369085173501574,20.2718869444787,1.0,156.0,2219
2022-04-29,PM10,61.73596766951055,28.30649453984216,4.0,208.0,2227
2022-04-30,O3,75.4151865008881,21.493511770611693,1.0,118.0,2252
2022-04-30,PM2.5,13.704131497112394,17.040586453007023,1.0,90.0,2251
2022-04-30,PM10,29.71802841918295,26.460969850331477,2.0,187.0,2252
2022-05-01,O3,71.89022222222222,32.90456155401145,1.0,143.0,2250
2022-05-01,PM2.5,15.511658600967884,9.797733135361552,1.0,100.0,2273
2022-05-01,PM10,41.47051056338028,20.62116400742245,3.0,185.0,2272
2022-05-02,O3,76.48128101037437,44.425351442303565,1.0,165.0,2217
2022-05-02,PM2.5,23.253476895468822,11.947540964870132,1.0,94.0,2229
2022-05-02,PM10,54.22515666965085,27.152737407114515,9.0,219.0,2234
2022-05-03,O3,103.52050168837434,53.523596550386,1.0,239.0,2073
2022-05-03,PM2.5,29.45608108108108,13.166296099581038,1.0,110.0,2072
2022-05-03,PM10,73.77568740955138,29.10293038497145,9.0,303.0,2073
2022-05-04,O3,120.83668005354752,50.09527836312681,1.0,259.0,2241
2022-05-04,PM2.5,31.07820224719101,13.952928778116299,1.0,128.0,2225
2022-05-04,PM10,84.36742934051144,29.794119901340157,17.0,235.0,2229
2022-05-05,O3,125.91991150442477,45.22227554316459,3.0,309.0,2260
2022-05-05,PM2.5,32.03763440860215,13.526272701130173,2.0,147.0,2232
2022-05-05,PM10,87.43772241992883,32.13938505449282,8.0,368.0,2248
2022-05-06,O3,77.0035445281347,28.185740444361002,2.0,228.0,2257
2022-05-06,PM2.5,24.64547896150403,15.477699603664211,1.0,229.0,2234
2022-05-06,PM10,81.21936056838366,70.86140763708207,3.0,981.0,2252
2022-05-07,O3,61.365240405822675,23.9616071106671,1.0,108.0,2267
2022-05-07,PM2.5,17.93495575221239,10.057301281598289,1.0,102.0,2260
2022-05-07,PM10,39.88471731448763,20.726181689566527,2.0,217.0,2264
